Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Tomb Raider: Legend,PC,2006,Action,Eidos Interactive,0,0.01,0,0,0.02
Rogue Trooper,XB,2006,Shooter,Eidos Interactive,0.01,0,0,0,0.02
Madden NFL 07,DS,2006,Sports,Electronic Arts,0.2,0,0,0.02,0.22
Need for Speed Carbon: Own the City,DS,2006,Racing,Electronic Arts,0.17,0.02,0,0.02,0.21
Untold Legends: Dark Kingdom,PS3,2006,Role-Playing,Electronic Arts,0.14,0.02,0.02,0.02,0.2
Tiger Woods PGA Tour 07,XB,2006,Sports,Electronic Arts,0.13,0.05,0,0.01,0.19
FIFA Soccer 07,GC,2006,Sports,Electronic Arts,0.14,0.04,0,0,0.18
NHL 07,PSP,2006,Sports,Electronic Arts,0.13,0.02,0,0.02,0.17
FIFA Street 2,PSP,2006,Sports,Electronic Arts,0.07,0.06,0,0.03,0.15
Arena Football,XB,2006,Sports,Electronic Arts,0.11,0.03,0,0.01,0.15
FIFA World Cup Germany 2006,GC,2006,Sports,Electronic Arts,0.1,0.03,0,0,0.13
NFL Head Coach,XB,2006,Sports,Electronic Arts,0.09,0.03,0,0,0.12
NASCAR 07,PS2,2006,Racing,Electronic Arts,0.06,0.04,0,0.01,0.11
FIFA Street 2,GC,2006,Sports,Electronic Arts,0.09,0.02,0,0,0.11
EA Replay,PSP,2006,Action,Electronic Arts,0.09,0,0,0.01,0.11
The Godfather: Mob Wars,PSP,2006,Action,Electronic Arts,0.09,0.01,0,0.01,0.11
FIFA World Cup Germany 2006,PSP,2006,Sports,Electronic Arts,0.1,0,0,0.01,0.11
NASCAR,PSP,2006,Racing,Electronic Arts,0.09,0,0,0.01,0.1
Def Jam Fight For NY: The Takeover,PSP,2006,Action,Electronic Arts,0.08,0,0,0.01,0.09
From Russia With Love,PSP,2006,Action,Electronic Arts,0.07,0.01,0,0.01,0.08
FIFA Street 2,XB,2006,Sports,Electronic Arts,0.06,0.02,0,0,0.08
Superman Returns,DS,2006,Action,Electronic Arts,0.07,0,0,0.01,0.08
FIFA Soccer 07,DS,2006,Sports,Electronic Arts,0.05,0.01,0,0,0.06
The Lord of the Rings: The Battle for Middle-Earth II,X360,2006,Strategy,Electronic Arts,0,0.05,0,0.01,0.06
NBA Live 07,XB,2006,Sports,Electronic Arts,0.04,0.01,0,0,0.06
Major League Baseball 2K8,PS3,2008,Sports,Bethesda Softworks,0.28,0,0,0.02,0.31
Major League Baseball 2K8,PS2,2008,Sports,Bethesda Softworks,0.07,0.06,0,0.02,0.15
Barnyard Blast: Swine of the Night,DS,2008,Platform,Big Ben Interactive,0.02,0,0,0,0.02
Agatha Christie: Death on the Nile,PC,2008,Adventure,Big Fish Games,0,0.01,0,0,0.02
SBK Superbike World Championship,PS3,2008,Racing,Black Bean Games,0.12,0.11,0,0.02,0.25
SBK Superbike World Championship,X360,2008,Racing,Black Bean Games,0.06,0.14,0,0.01,0.21
Corvette Evolution GT,DS,2008,Racing,Black Bean Games,0.1,0,0,0.01,0.1
SBK Superbike World Championship,PS2,2008,Racing,Black Bean Games,0.01,0.01,0,0,0.02
SBK Superbike World Championship,PSP,2008,Racing,Black Bean Games,0.01,0,0,0,0.01
Casper's Scare School: Classroom Capers,DS,2008,Adventure,Blast! Entertainment Ltd,0.02,0,0,0,0.02
The Tale of Despereaux,PS2,2008,Platform,Brash Entertainment,0.17,0.13,0,0.04,0.35
Six Flags Fun Park,DS,2008,Misc,Brash Entertainment,0.17,0,0,0.01,0.18
Space Chimps,PS2,2008,Platform,Brash Entertainment,0.06,0.05,0,0.02,0.12
Space Chimps,X360,2008,Platform,Brash Entertainment,0.1,0,0,0.01,0.11
Space Chimps,Wii,2008,Platform,Brash Entertainment,0.08,0,0,0.01,0.09
The Tale of Despereaux,DS,2008,Platform,Brash Entertainment,0.06,0,0,0,0.07
Space Chimps,DS,2008,Platform,Brash Entertainment,0.05,0,0,0,0.06
The Tale of Despereaux,Wii,2008,Platform,Brash Entertainment,0.04,0,0,0,0.04
Shinseiki Evangelion Ayanami Ikusei Keikaku DS with Asuka Hokan Keikaku,DS,2008,Simulation,Broccoli,0,0,0.03,0,0.03
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
Devil May Cry 4,PS3,2008,Action,Capcom,0.58,0.46,0.34,0.21,1.59
Devil May Cry 4,X360,2008,Action,Capcom,0.79,0.34,0.08,0.13,1.35
Lost Planet: Extreme Condition,PS3,2008,Shooter,Capcom,0.31,0.17,0.07,0.09,0.64
Okami,Wii,2008,Action,Capcom,0.45,0.1,0.04,0.05,0.64
Mega Man Star Force 3: Black Ace / Red Joker,DS,2008,Action,Capcom,0.22,0,0.22,0.02,0.47
MotoGP 08,PS3,2008,Racing,Capcom,0.07,0.24,0,0.08,0.39
MotoGP 08,X360,2008,Racing,Capcom,0.11,0.2,0,0.04,0.35
Resident Evil Archives: Resident Evil,Wii,2008,Action,Capcom,0.17,0.04,0.08,0.02,0.32
Neopets Puzzle Adventure,DS,2008,Puzzle,Capcom,0.26,0,0,0.02,0.29
Resident Evil Archives: Resident Evil Zero,Wii,2008,Action,Capcom,0.14,0.04,0.06,0.02,0.25
Neopets Puzzle Adventure,Wii,2008,Puzzle,Capcom,0.19,0.02,0,0.02,0.23
MotoGP 08,PS2,2008,Racing,Capcom,0.01,0,0,0.21,0.22
Onimusha Essentials,PS2,2008,Action,Capcom,0.07,0.05,0,0.02,0.14
Fate/Unlimited Codes,PS2,2008,Fighting,Capcom,0,0,0.14,0,0.14
Sally's Salon,DS,2008,Simulation,Capcom,0.12,0,0,0.01,0.13
Harvey Birdman: Attorney at Law,PS2,2008,Adventure,Capcom,0.06,0.04,0,0.01,0.12
Tatsunoko vs. Capcom: Cross Generation of Heroes,Wii,2008,Fighting,Capcom,0,0,0.1,0,0.1
Harvey Birdman: Attorney at Law,PSP,2008,Adventure,Capcom,0.08,0,0,0.01,0.09
Harvey Birdman: Attorney at Law,Wii,2008,Adventure,Capcom,0.08,0,0,0.01,0.09
Tropix,DS,2008,Puzzle,Capcom,0.06,0,0,0,0.07
Fate/Tiger Colosseum Upper,PSP,2008,Fighting,Capcom,0,0,0.06,0,0.06
Sengoku Basara X,PS2,2008,Fighting,Capcom,0,0,0.05,0,0.05
Phoenix Wright: Revived Turnabout,DS,2008,Misc,Capcom,0,0,0.04,0,0.04
Devil May Cry 4,PC,2008,Action,Capcom,0.01,0.02,0,0.01,0.04
Rosario to Vampire: Tanabata no Miss Youkai Gakuen,DS,2008,Adventure,Capcom,0,0,0.01,0,0.01
Princess Debut,DS,2008,Misc,Cave,0.1,0,0,0.01,0.1
Igor: The Game,Wii,2008,Adventure,CDV Software Entertainment,0.09,0,0,0.01,0.1
My Little Baby,DS,2008,Simulation,CDV Software Entertainment,0,0.01,0,0,0.01
Dance! It's Your Stage,Wii,N/A,Misc,DTP Entertainment,0,0.01,0,0,0.02
Hitman 2: Silent Assassin,XB,N/A,Action,Eidos Interactive,0.76,0.38,0,0.05,1.19
Legacy of Kain: Soul Reaver,PS,N/A,Action,Eidos Interactive,0.58,0.4,0,0.07,1.04
Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
FIFA Soccer 2004,PS2,N/A,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49
Rock Band,X360,N/A,Misc,Electronic Arts,1.93,0.34,0,0.21,2.48
Rock Band,PS3,N/A,Misc,Electronic Arts,0.99,0.41,0,0.22,1.62
NBA Street Vol. 2,GC,N/A,Sports,Electronic Arts,0.41,0.11,0,0.01,0.54
Tiger Woods PGA Tour 07,Wii,N/A,Sports,Electronic Arts,0.43,0,0,0.04,0.47
NBA Live 2003,XB,N/A,Sports,Electronic Arts,0.31,0.04,0,0.01,0.36
Tornado,DS,N/A,Action,Ignition Entertainment,0.07,0,0,0,0.07
Alone in the Dark: The New Nightmare,PS,N/A,Adventure,Infogrames,0.09,0.06,0,0.01,0.16
Tropico 4,X360,N/A,Strategy,Kalypso Media,0.2,0.13,0,0.03,0.36
Port Royale 3,PS3,N/A,Simulation,Kalypso Media,0.06,0,0,0.01,0.07
